N,Rows,nnz,Precond,Status,Time_ms,Peak_MB,Peak_GB,Bytes_per_row
1000,1000000,5000000,BJ1,OK,66.3,45.8,0.045,48.0
1000,1000000,5000000,BJ2,OK,444.2,80.1,0.078,84.0
1000,1000000,5000000,BJ4,OK,425.6,95.4,0.093,100.0
1000,1000000,5000000,BJ8,OK,404.9,125.9,0.123,132.0
1000,1000000,5000000,BJ16,OK,411.2,186.9,0.183,196.0
1000,1000000,5000000,ILU,OK,2806.5,255.5,0.249,267.9
1000,1000000,5000000,ICT,OK,17843.7,794.1,0.775,832.6
1000,1000000,5000000,ISAI,OK,193.7,129.7,0.127,136.0
1000,1000000,5000000,MG,OK,474.5,978.9,0.956,1026.5
2000,4000000,20000000,BJ1,OK,185.9,183.1,0.179,48.0
2000,4000000,20000000,BJ2,OK,1747.6,320.4,0.313,84.0
2000,4000000,20000000,BJ4,OK,1689.0,381.4,0.373,100.0
2000,4000000,20000000,BJ8,OK,1593.7,503.5,0.492,132.0
2000,4000000,20000000,BJ16,OK,1604.2,747.7,0.730,196.0
2000,4000000,20000000,ILU,OK,6491.3,1022.1,0.998,267.9
2000,4000000,20000000,ICT,OK,38582.7,3179.6,3.105,833.5
2000,4000000,20000000,ISAI,OK,676.6,518.8,0.507,136.0
2000,4000000,20000000,MG,OK,1820.7,3919.4,3.828,1027.5
4000,16000000,80000000,BJ1,OK,674.2,732.4,0.715,48.0
4000,16000000,80000000,BJ2,OK,6889.5,1281.8,1.252,84.0
4000,16000000,80000000,BJ4,OK,6767.3,1525.9,1.490,100.0
4000,16000000,80000000,BJ8,OK,6451.4,2014.2,1.967,132.0
4000,16000000,80000000,BJ16,OK,6501.9,2990.8,2.921,196.0
4000,16000000,80000000,ILU,OK,19719.0,4089.0,3.993,268.0
4000,16000000,80000000,ICT,INT32_OVF,5274.6,11997.3,11.716,786.3
4000,16000000,80000000,ISAI,OK,2874.1,2075.4,2.027,136.0
4000,16000000,80000000,MG,OK,9498.2,15684.9,15.317,1027.9
6000,36000000,180000000,BJ1,OK,1448.2,1648.0,1.609,48.0
6000,36000000,180000000,BJ2,OK,15649.0,2883.9,2.816,84.0
6000,36000000,180000000,BJ4,OK,15192.3,3433.2,3.353,100.0
6000,36000000,180000000,BJ8,OK,14630.5,4531.8,4.426,132.0
6000,36000000,180000000,BJ16,OK,14655.9,6729.1,6.571,196.0
6000,36000000,180000000,ILU,OK,42935.4,9200.5,8.985,268.0
6000,36000000,180000000,ICT,INT32_OVF,3978.2,10575.7,10.328,308.0
6000,36000000,180000000,ISAI,OK,7244.8,4669.4,4.560,136.0
6000,36000000,180000000,MG,OK,32094.0,35291.2,34.464,1027.9
